Direct operations (ISIC Section),Direct operations (ISIC Division),Direct operations (ISIC Group/Class),ISIC level used for direct operations,Downstream tier 1 (ISIC Division/Group/Class),ISIC level used for downstream tier 1 link,Downstream tier 2 (ISIC Division/Group/Class),ISIC level used for downstream tier 2 link
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Remediation activities and other waste management services,ISIC Division,Residential care activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Remediation activities and other waste management services,ISIC Division,Social work activities without accommodation,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,Remediation activities and other waste management services,ISIC Division,Veterinary activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Human health activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Residential care activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Social work activities without accommodation,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste collection,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Veterinary activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Remediation activities and other waste management services,ISIC Division,Human health activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Remediation activities and other waste management services,ISIC Division,Residential care activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Remediation activities and other waste management services,ISIC Division,Social work activities without accommodation,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,Remediation activities and other waste management services,ISIC Division,Veterinary activities,ISIC Division
"Water supply; sewerage, waste management and remediation activities","Waste collection, treatment and disposal activities; materials recovery",Waste treatment and disposal,ISIC Group,"Waste collection, treatment and disposal activities; materials recovery",ISIC Division,Human health activities,ISIC Division
